index,bucket_start,bucket_start_offset_ns,bucket_duration_ns,source_x_px,source_y_px,height_px,height_ppm,target_visible_cycles_per_second,target_visible_Bcycles_per_second
182,05:04:44.651,18284651162790,100465116279,182,128.481,13.018,268417,113420850000,113.420850000
183,05:06:25.116,18385116279069,100465116279,183,128.515,12.984,267716,113385800000,113.385800000
184,05:08:05.581,18485581395348,100465116279,184,128.569,12.930,266603,113330150000,113.330150000
185,05:09:46.046,18586046511627,100465116279,185,129.446,12.053,248520,112426000000,112.426000000
186,05:11:26.511,18686511627906,100465116280,186,129.497,12.002,247469,112373450000,112.373450000
187,05:13:06.976,18786976744186,100465116279,187,129.538,11.961,246623,112331150000,112.331150000
188,05:14:47.441,18887441860465,100465116279,188,129.554,11.945,246293,112314650000,112.314650000
189,05:16:27.906,18987906976744,100465116279,189,129.513,11.986,247139,112356950000,112.356950000
190,05:18:08.372,19088372093023,100465116279,190,128.957,12.542,258603,112930150000,112.930150000
191,05:19:48.837,19188837209302,100465116279,191,127.949,13.550,279387,113969350000,113.969350000
192,05:21:29.302,19289302325581,100465116279,192,126.522,14.977,308810,115440500000,115.440500000
193,05:23:09.767,19389767441860,100465116279,193,126.462,15.037,310047,115502350000,115.502350000
194,05:24:50.232,19490232558139,100465116279,194,126.442,15.057,310460,115523000000,115.523000000
195,05:26:30.697,19590697674418,100465116279,195,126.497,15.002,309325,115466250000,115.466250000
196,05:28:11.162,19691162790697,100465116279,196,126.556,14.943,308109,115405450000,115.405450000
197,05:29:51.627,19791627906976,100465116279,197,127.000,14.499,298954,114947700000,114.947700000
198,05:31:32.093,19892093023255,100465116279,198,127.466,14.033,289346,114467300000,114.467300000
199,05:33:12.558,19992558139534,100465116279,199,127.508,13.991,288480,114424000000,114.424000000
200,05:34:53.023,20093023255813,100465116280,200,128.000,13.499,278335,113916750000,113.916750000
201,05:36:33.488,20193488372093,100465116279,201,128.000,13.499,278335,113916750000,113.916750000
202,05:38:13.953,20293953488372,100465116279,202,128.475,13.024,268541,113427050000,113.427050000
203,05:39:54.418,20394418604651,100465116279,203,128.534,12.965,267325,113366250000,113.366250000
204,05:41:34.883,20494883720930,100465116279,204,129.000,12.499,257716,112885800000,112.885800000
205,05:43:15.348,20595348837209,100465116279,205,129.447,12.052,248499,112424950000,112.424950000
206,05:44:55.813,20695813953488,100465116279,206,129.496,12.003,247489,112374450000,112.374450000
207,05:46:36.279,20796279069767,100465116279,207,129.535,11.964,246685,112334250000,112.334250000
208,05:48:16.744,20896744186046,100465116279,208,130.000,11.499,237097,111854850000,111.854850000
209,05:49:57.209,20997209302325,100465116279,209,130.466,11.033,227489,111374450000,111.374450000
210,05:51:37.674,21097674418604,100465116279,210,130.508,10.991,226623,111331150000,111.331150000
211,05:53:18.139,21198139534883,100465116279,211,130.528,10.971,226210,111310500000,111.310500000
212,05:54:58.604,21298604651162,100465116279,212,130.503,10.996,226726,111336300000,111.336300000
213,05:56:39.069,21399069767441,100465116279,213,129.966,11.533,237798,111889900000,111.889900000
214,05:58:19.534,21499534883720,100465116280,214,128.972,12.527,258293,112914650000,112.914650000
215,06:00:00.000,21600000000000,100465116279,215,127.483,14.016,288995,114449750000,114.449750000
216,06:01:40.465,21700465116279,100465116279,216,126.487,15.012,309532,115476600000,115.476600000
217,06:03:20.930,21800930232558,100465116279,217,125.024,16.475,339697,116984850000,116.984850000
218,06:05:01.395,21901395348837,100465116279,218,123.963,17.536,361574,118078700000,118.078700000
219,06:06:41.860,22001860465116,100465116279,219,122.520,18.979,391327,119566350000,119.566350000
220,06:08:22.325,22102325581395,100465116279,220,121.488,20.011,412606,120630300000,120.630300000
221,06:10:02.790,22202790697674,100465116279,221,120.453,21.046,433947,121697350000,121.697350000
222,06:11:43.255,22303255813953,100465116279,222,119.034,22.465,463205,123160250000,123.160250000
223,06:13:23.720,22403720930232,100465116279,223,118.454,23.045,475164,123758200000,123.758200000
224,06:15:04.186,22504186046511,100465116279,224,117.562,23.937,493556,124677800000,124.677800000
225,06:16:44.651,22604651162790,100465116279,225,118.455,23.044,475143,123757150000,123.757150000
226,06:18:25.116,22705116279069,100465116279,226,118.530,22.969,473597,123679850000,123.679850000
227,06:20:05.581,22805581395348,100465116279,227,119.000,22.499,463906,123195300000,123.195300000
228,06:21:46.046,22906046511627,100465116279,228,119.510,21.989,453390,122669500000,122.669500000
229,06:23:26.511,23006511627906,100465116280,229,120.000,21.499,443287,122164350000,122.164350000
230,06:25:06.976,23106976744186,100465116279,230,120.485,21.014,433287,121664350000,121.664350000
231,06:26:47.441,23207441860465,100465116279,231,120.550,20.949,431947,121597350000,121.597350000
232,06:28:27.906,23307906976744,100465116279,232,121.455,20.044,413286,120664300000,120.664300000
233,06:30:08.372,23408372093023,100465116279,233,121.547,19.952,411389,120569450000,120.569450000
234,06:31:48.837,23508837209302,100465116279,234,122.458,19.041,392606,119630300000,119.630300000
235,06:33:29.302,23609302325581,100465116279,235,122.523,18.976,391265,119563250000,119.563250000
236,06:35:09.767,23709767441860,100465116279,236,123.450,18.049,372152,118607600000,118.607600000
237,06:36:50.232,23810232558139,100465116279,237,123.530,17.969,370502,118525100000,118.525100000
238,06:38:30.697,23910697674418,100465116279,238,124.457,17.042,351388,117569400000,117.569400000
239,06:40:11.162,24011162790697,100465116279,239,124.528,16.971,349924,117496200000,117.496200000
240,06:41:51.627,24111627906976,100465116279,240,125.449,16.050,330934,116546700000,116.546700000
241,06:43:32.093,24212093023255,100465116279,241,125.519,15.980,329491,116474550000,116.474550000
242,06:45:12.558,24312558139534,100465116279,242,126.000,15.499,319573,115978650000,115.978650000
243,06:46:53.023,24413023255813,100465116280,243,126.456,15.043,310171,115508550000,115.508550000
244,06:48:33.488,24513488372093,100465116279,244,126.514,14.985,308975,115448750000,115.448750000
245,06:50:13.953,24613953488372,100465116279,245,127.000,14.499,298954,114947700000,114.947700000
246,06:51:54.418,24714418604651,100465116279,246,127.430,14.069,290088,114504400000,114.504400000
247,06:53:34.883,24814883720930,100465116279,247,127.477,14.022,289119,114455950000,114.455950000
248,06:55:15.348,24915348837209,100465116279,248,127.547,13.952,287676,114383800000,114.383800000
249,06:56:55.813,25015813953488,100465116279,249,128.000,13.499,278335,113916750000,113.916750000
250,06:58:36.279,25116279069767,100465116279,250,128.429,13.070,269490,113474500000,113.474500000
251,07:00:16.744,25216744186046,100465116279,251,128.470,13.029,268644,113432200000,113.432200000
252,07:01:57.209,25317209302325,100465116279,252,128.519,12.980,267634,113381700000,113.381700000
253,07:03:37.674,25417674418604,100465116279,253,128.563,12.936,266727,113336350000,113.336350000
254,07:05:18.139,25518139534883,100465116279,254,129.000,12.499,257716,112885800000,112.885800000
255,07:06:58.604,25618604651162,100465116279,255,129.000,12.499,257716,112885800000,112.885800000
256,07:08:39.069,25719069767441,100465116279,256,128.451,13.048,269036,113451800000,113.451800000
257,07:10:19.534,25819534883720,100465116280,257,127.913,13.586,280129,114006450000,114.006450000
258,07:12:00.000,25920000000000,100465116279,258,126.498,15.001,309305,115465250000,115.465250000
259,07:13:40.465,26020465116279,100465116279,259,125.479,16.020,330316,116515800000,116.515800000
260,07:15:20.930,26120930232558,100465116279,260,124.471,17.028,351100,117555000000,117.555000000
261,07:17:01.395,26221395348837,100465116279,261,123.048,18.451,380440,119022000000,119.022000000
262,07:18:41.860,26321860465116,100465116279,262,122.019,19.480,401657,120082850000,120.082850000
263,07:20:22.325,26422325581395,100465116279,263,121.455,20.044,413286,120664300000,120.664300000
264,07:22:02.790,26522790697674,100465116279,264,120.000,21.499,443287,122164350000,122.164350000
265,07:23:43.255,26623255813953,100465116279,265,119.522,21.977,453143,122657150000,122.657150000
266,07:25:23.720,26723720930232,100465116279,266,119.000,22.499,463906,123195300000,123.195300000
267,07:27:04.186,26824186046511,100465116279,267,118.485,23.014,474525,123726250000,123.726250000
268,07:28:44.651,26924651162790,100465116279,268,117.512,23.987,494587,124729350000,124.729350000
269,07:30:25.116,27025116279069,100465116279,269,117.000,24.499,505144,125257200000,125.257200000
270,07:32:05.581,27125581395348,100465116279,270,116.466,25.033,516154,125807700000,125.807700000
271,07:33:46.046,27226046511627,100465116279,271,115.524,25.975,535578,126778900000,126.778900000
272,07:35:26.511,27326511627906,100465116280,272,114.570,26.929,555248,127762400000,127.762400000
273,07:37:06.976,27426976744186,100465116279,273,114.432,27.067,558093,127904650000,127.904650000
274,07:38:47.441,27527441860465,100465116279,274,113.504,27.995,577228,128861400000,128.861400000
275,07:40:27.906,27627906976744,100465116279,275,113.000,28.499,587620,129381000000,129.381000000
276,07:42:08.372,27728372093023,100465116279,276,112.451,29.048,598940,129947000000,129.947000000
277,07:43:48.837,27828837209302,100465116279,277,111.509,29.990,618363,130918150000,130.918150000
278,07:45:29.302,27929302325581,100465116279,278,110.567,30.932,637786,131889300000,131.889300000
279,07:47:09.767,28029767441860,100465116279,279,110.453,31.046,640136,132006800000,132.006800000
280,07:48:50.232,28130232558139,100465116279,280,109.514,31.985,659498,132974900000,132.974900000
281,07:50:30.697,28230697674418,100465116279,281,109.000,32.499,670096,133504800000,133.504800000
282,07:52:11.162,28331162790697,100465116279,282,108.449,33.050,681457,134072850000,134.072850000
283,07:53:51.627,28431627906976,100465116279,283,107.525,33.974,700509,135025450000,135.025450000
284,07:55:32.093,28532093023255,100465116279,284,107.000,34.499,711334,135566700000,135.566700000
285,07:57:12.558,28632558139534,100465116279,285,106.452,35.047,722633,136131650000,136.131650000
286,07:58:53.023,28733023255813,100465116280,286,105.545,35.954,741334,137066700000,137.066700000
287,08:00:33.488,28833488372093,100465116279,287,105.000,36.499,752572,137628600000,137.628600000
288,08:02:13.953,28933953488372,100465116279,288,104.516,36.983,762551,138127550000,138.127550000
289,08:03:54.418,29034418604651,100465116279,289,104.491,37.008,763067,138153350000,138.153350000
290,08:05:34.883,29134883720930,100465116279,290,105.000,36.499,752572,137628600000,137.628600000
291,08:07:15.348,29235348837209,100465116279,291,105.566,35.933,740901,137045050000,137.045050000
292,08:08:55.813,29335813953488,100465116279,292,106.000,35.499,731953,136597650000,136.597650000
293,08:10:36.279,29436279069767,100465116279,293,107.000,34.499,711334,135566700000,135.566700000
294,08:12:16.744,29536744186046,100465116279,294,107.549,33.950,700014,135000700000,135.000700000
295,08:13:57.209,29637209302325,100465116279,295,108.000,33.499,690715,134535750000,134.535750000
296,08:15:37.674,29737674418604,100465116279,296,109.000,32.499,670096,133504800000,133.504800000
297,08:17:18.139,29838139534883,100465116279,297,109.494,32.005,659910,132995500000,132.995500000
298,08:18:58.604,29938604651162,100465116279,298,110.000,31.499,649477,132473850000,132.473850000
299,08:20:39.069,30039069767441,100465116279,299,110.527,30.972,638611,131930550000,131.930550000
300,08:22:19.534,30139534883720,100465116280,300,110.528,30.971,638590,131929500000,131.929500000
301,08:24:00.000,30240000000000,100465116279,301,110.000,31.499,649477,132473850000,132.473850000
